,0,1,2,3,4,5,6,7,8
402,intel,,pentium,gold,7505,,,,
403,intel,core,i7,8th,gen.,,,,
404,intel,core,i5,12th,gen.,,,,
405,intel,core,i3,3rd,gen.,,,,
406,mediatek,mt8183,,,,,,,
407,amd,ryzen,7,pro,,,,,
408,intel,core,i5-1135g7,,,,,,
409,intel,core,i5-5200u,,,,,,
410,intel,core,i5,8th,gen.,,,,
411,intel,core,i5,10th,gen.,,,,
412,intel,core,i7,,,,,,
413,intel,core,i5,6th,gen.,,,,
414,intel,core,i5-6300u,,,,,,
415,intel,core,i5-8250u,,,,,,
416,intel,core,i5,11th,gen.,,,,
417,intel,core,i7,10th,gen.,,,,
418,core,i5-5300u,,,,,,,
419,intel,core,i7,8th,gen.,,,,
420,intel,core,i5-8365u,,,,,,
421,intel,core,i5-5200u,,,,,,
422,intel,core,i5,8th,gen.,,,,
423,i5-7200u,,,,,,,,
424,intel,core,i7,11th,gen.,,,,
425,intel,core,i7,11th,gen.,,,,
426,amd,ryzen,5,,,,,,
427,intel,core,i7-10850h,,,,,,
428,intel,core,i7,10th,gen.,,,,
429,intel,core,i7,11th,gen.,,,,
430,intel,celeron,n,,,,,,
431,core,i7-7600u,,,,,,,
432,intel,celeron,n,,,,,,
433,core,i7-2760qm,,,,,,,
434,intel,core,i5,4th,gen.,,,,
435,intel,core,m5,6th,gen.,,,,
436,intel,core,i7,1st,gen.,,,,
437,intel(r),core(tm),i9,12900hk,5.0ghz,max,turbo,frequency,
438,intel,core,i7,4th,gen.,,,,
439,intel,core,i7,8th,gen.,,,,
440,intel,core,i3,5th,gen.,,,,
441,intel,core,i5,10th,gen.,,,,
442,ryzen,7,6800h,,,,,,
443,intel,core,i7,-,8650u,,,,
444,core,i7-8665u,,,,,,,
445,intel,xeon,,,,,,,
446,intel,core,i7-8650u,,,,,,
447,intel,core,i5,10th,gen.,,,,
448,mediatek,helio,p60t,,,,,,
449,intel,core,i7,8th,gen.,,,,
450,intel,core,i7,7th,gen.,,,,
451,intel,core,i7,11th,gen.,,,,
452,intel,core,i7,9th,gen.,,,,
453,intel,core,i5,4th,gen.,,,,
454,intel,core,i3,4th,gen.,,,,
455,intel,core,i5,8th,gen.,,,,
456,intel,core,i7-4800mq,quad,core,cpu,,,
457,amd,ryzen,5,5600u,,,,,
458,intel,core,i7,3rd,gen.,,,,
459,i5-10210u,,,,,,,,
460,core,i5-8365u,,,,,,,
461,intel,core,i7,12th,gen.,,,,
462,intel,core,i5-1135g7,,,,,,
463,intel,core,i7,8th,gen.,,,,
464,intel,core,i5,1st,gen.,,,,
465,intel,core,i7,8th,gen.,,,,
466,intel,core,i7-1165g7,,,,,,
467,intel,core,i7-8650u,,,,,,
468,intel,celeron,n,,,,,,
469,intel,core,i5-8250u,,,,,,
470,intel,core,i5,11th,gen.,,,,
471,intel,core,i7-8650u,,,,,,
472,m3-8100y,,,,,,,,
473,celeron,n4500,,,,,,,
474,intel,core,i5,10th,gen.,,,,
475,intel,core,i7,11th,gen.,,,,
476,celeron,n4020,,,,,,,
477,intel,core,i7,8th,gen.,,,,
478,celeron,n3350,,,,,,,
479,missing,,,,,,,,
480,intel,celeron,n,,,,,,
481,i7-7600u,,,,,,,,
482,mediatek,mt8183c,,,,,,,
483,athlon,gold,3150c,,,,,,
484,intel,core,i7-10750h,,,,,,
485,intel,core,i5,11th,gen.,,,,
486,intel,core,i3,11th,gen.,,,,
487,amd,a4,quad-core,,,,,,
488,intel,pentium,,,,,,,
489,intel,celeron,,,,,,,
490,intel,core,i7,-,10610u,,,,
491,intel,core,m5-6y57,,,,,,
492,intel,celeron,n,,,,,,
493,amd,ryzen,7,,,,,,
494,intel,core,i5,6th,gen.,,,,
495,amd,a6,,,,,,,
496,intel,core,i7-10750h,,,,,,
497,intel,core,i5-8350u,,,,,,
498,amd,e-series,,,,,,,
499,intel,core,i7-1185g7,,,,,,
500,amd,ryzen,z1,extreme,processor,,,,
501,intel,core,i7,5th,gen.,,,,
502,amd,dual,core,,,,,,
503,core,i5-1135g7,,,,,,,
504,intel,core,i5,11th,gen.,,,,
505,intel,core,i3-1115g4,,,,,,
506,intel,core,i5,8th,gen.,,,,
507,intel,core,i7,8th,gen.,,,,
508,intel,core,i5,2nd,gen.,,,,
509,core,i5-1135g7,,,,,,,
510,amd,ryzen,7,,,,,,
511,amd,ryzen,7,,,,,,
512,intel,core,i5,6th,gen.,,,,
513,intel,i5-1145g7,,,,,,,
514,intel,i5-1145g7,,,,,,,
515,intel,core,i5,10th,gen.,,,,
516,intel,core,i5,10th,gen.,,,,
517,intel,core,i5,12th,gen.,,,,
518,intel,core,i5-8365u,,,,,,
519,intel,core,i5,11th,gen.,,,,
520,amd,radeon,5,pro,5675u,,,,
521,amd,a8,,,,,,,
522,amd,ryzen,7,4800h,,,,,
523,intel,core,i5-1135g7,,,,,,
524,intel,core,i7,11th,gen.,,,,
525,amd,ryzen,5,pro,5650u,,,,
526,intel,core,i7,8th,gen.,,,,
527,intel,core,i5,6th,gen.,,,,
528,intel,core,i7,7th,gen.,,,,
529,intel,,core,i5-1145g7,,,,,
530,intel,core,i5,8th,gen.,,,,
531,intel,core,i7,8th,gen.,,,,
532,intel,core,i5,8th,gen.,,,,
533,intel,core,i7,10th,gen.,,,,
534,intel,core,i3-8130u,,,,,,
535,m1,,,,,,,,
536,i3-7100u,,,,,,,,
537,intel,core,i7,4th,gen.,,,,
538,core,i3-1115g4,,,,,,,
539,intel,core,i5-7300u,,,,,,
540,amd,ryzen,5,,,,,,
541,intel,core,i5,,,,,,
542,intel,core,i9,11th,gen,,,,
543,intel,core,i9,11th,gen,,,,
544,intel,core,i7,8th,gen.,,,,
545,celeron,n5205,,,,,,,
546,intel,core,i5-4300u,,,,,,
547,intel,core,i7,7th,gen.,,,,
548,intel,core,i3,4th,gen.,,,,
549,i7-4600u,,,,,,,,
550,intel,core,i7,11th,gen.,,,,
551,intel,core,i7,8th,gen.,,,,
552,intel,core,i5,4th,gen.,,,,
553,intel,core,i7-2620m,,,,,,
554,intel,core,i5-8265u,,,,,,
555,intel,celeron,n4120,,,,,,
556,intel,core,i7,7th,gen.,,,,
557,i7-10510u,,,,,,,,
558,amd,ryzen,7,,,,,,
559,intel,core,i3,2nd,gen.,,,,
560,intel,core,i5,2nd,gen.,,,,
561,intel,core,i7,8th,gen.,,,,
562,intel,core,i7,4th,gen.,,,,
563,intel,,,,,,,,
564,intel,core,i5-4310u,,,,,,
565,intel,core,i5,7th,gen.,,,,
566,intel,i5,processor,,,,,,
567,intel,core,i7,8th,gen.,,,,
568,intel,core,i5,11th,gen.,,,,
569,amd,athlon,,,,,,,
570,intel,core,i7-3517u,,,,,,
571,intel,core,i7,8th,gen.,,,,
572,intel,core,i7-10750h,,,,,,
573,xeon,e3-1505m,v5,,,,,,
574,intel,core,i3,4th,gen.,,,,
575,intel,core,i5-5300u,,,,,,
576,intel,core,i7,6th,gen.,,,,
