,title,currency,price,condition,Processor,Screen Size,Color,RAM Size,SSD Capacity,GPU,Processor Speed,Brand,Series,Type,Maximum Resolution,Model,Operating System,Hard Drive Capacity,Storage Type,test,URL
284,Dell Latitude 6430U Laptop BOOTS Core i5-3427U 1.8GHz 4GB RAM 128GB HDD NO OS,US,17.5,Used,Dell,Intel Core i5-3427U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/145159580625?hash=item21cc2f6bd1:g:wjMAAOSw61ZkgijF&amdata=enc%3AAQAIAAAA0BMrwIHMem8LSuqH21YVJNRi5hvG1WJa8FTFkvVpo9UPxObx897Yi3NfI3ilMCQSOeVQLDhudQMOuLGHfovkdPgkwxZ2pvsxcgBxRtUrV1yJIr1VjQLXhVnuywZmomqx737hgANNW7nBCGJEuFVaIXwsa95ArNGbUBqHPM%2F1oxvwBk6oGep%2FDuuhogCtLFCOSzy0nVY8F5RgSXSj6H6kG7%2BbFmmE9PqTrKoSYndWS9PSX25OsTjd49wKfyjkIlfQkxFLxCTSB4xTZeYgoCOLU60%3D%7Ctkp%3ABk9SR86k1Y2jYg
285,Dell Latitude 3480 Laptop BOOTS Core i3-7100U @2.4GHz 8GB DDR4 RAM NO HDD,US,55,Used,Dell,Intel Core i3-7100U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/204379540907?hash=item2f95f84dab:g:YB4AAOSwijVkgiNH&amdata=enc%3AAQAIAAAAsCvfoacbvTPHN0YcYIIvDb0YDAipECcmzMlmMzqv2FskqnGvvkKCm9K6%2BHa0inkJAMDTwGAV1YXbmZCP8DLXl0vhyyhrlF1UM6qcEWuc5zxsYLxHAjbGfTx8ASUXitpFxA41%2BY%2B8VLe3KLsYg2RQ9gS8hNnRrolDv2ikaocRvVpfYOQRFRnKOuJQ65h3nY3MiP9BzLtAc3Gk37MIIKplR9dO0PQm8dMJUJm7ZFzhaZld%7Ctkp%3ABk9SR86k1Y2jYg
286,HP EliteBook 840 G2 Laptop BOOTS Core i5-5200U @ 2.2 GHz 8GB RAM 256GB SSD NO OS,US,80,Used,HP,Core i5-5200U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/145159580589?hash=item21cc2f6bad:g:MuoAAOSwkFhkggPe&amdata=enc%3AAQAIAAAAsO11d9bgP5NiG9IqK3EFhkjeaEoqqsufUKOn4V85uDz9ndlym2Fbfz3SNCwtRW7ZXMyVC5GEWQqEKFVxoYyVmkCIG8ono9cq88FmVdkMS8xAHA4abATZpe6KQ21YFAvE5UiE4mggWc%2FsxpuuoPu%2Fcj2tWqvULOjzhgmAH%2Bwt9inPcNGj4ZlduvVvsi2%2BE9HEeg%2BWTrluzRWe6QXjlS7WdYr3JH1pdxVrxtwnzNvk7a48%7Ctkp%3ABk9SR86k1Y2jYg
287,Dell Latitude 5289 Laptop BOOTS Intel Core i7-7600U @2.8GHz 16GB RAM NO HDD/OS,US,103.5,Used,Dell,Intel Core i7-7600U,12.5 in,,,,,,,,,,,,,,https://www.ebay.com/itm/145159580559?hash=item21cc2f6b8f:g:sdEAAOSw26NkgejV&amdata=enc%3AAQAIAAAA0MK%2Bk8wv6RI8GZJRA%2FSGA53TvLWpJXcpiwTZ476sN1L3iN68T7Zt%2B2XQ3HEej7AmIj6oHectwREWGvcRWAlyWosE6VCohFcdMO7pivYfEuUKOkHQRyhgKAbrGj24AGUdOwifBmp7P7L%2F7mW5Pry%2BKvbbLQexijXQVkfZMyrT7VRNw3f%2BIbCe8GpvP3VY9xdaJ7dD2nMXbqqvjTc0eUA76x07Mag1iYw3SEd8s4A%2BNj7oAv9UC5AsM2g39YK7Sf90PfwDbCqf6JbIOXJtufqRW3Q%3D%7Ctkp%3ABk9SR86k1Y2jYg
288,HP ProBook 640 G3 Laptop BOOTS Core i5-7200U @ 2.5 GHz 8GB RAM 256GB SSD NO OS,US,68,Used,HP,Core i5-7200U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/204379540790?hash=item2f95f84d36:g:M7oAAOSwnuBkgeYl&amdata=enc%3AAQAIAAAA0AbeeWD01RO%2BvNV69KBxq%2B1iqosMW9%2BDmvoEqFhxPSWwCbUgbqj3Hm%2FGJf1CWO5oZyvRFgx7x9wHV7d8ATjt5ilHTJhvERCTuL9Gr%2FcZXoyroFTxcVGL%2FnArEP98ZLQ%2FB1B%2FBWZWCgZhERmRj2hvnxxPbrdbfvhz6yTEBEDPGpttLrgWXm6%2FhXMareJdliFJ8exSyalslH00xIgXknAPATrvvs5av2hcHXD7ikEUp70dNzB9Hhl2iwHJXnE3Y4YOaYX2C4caJ9W40qadG8%2BN8Ss%3D%7Ctkp%3ABk9SR86k1Y2jYg
289,Lenovo ThinkPad E570 Laptop BOOTS Core i5-6200U @2.3 GHz 8GB RAM 500GB HDD NO OS,US,75,Used,Lenovo,Core i5-6200U,15.6 in,,,,,,,,,,,,,,https://www.ebay.com/itm/204379540766?hash=item2f95f84d1e:g:~JQAAOSwOQFkgeO4&amdata=enc%3AAQAIAAAAsCaYFSgUPuVXegO%2BoPJ4pTA83SXrsEgZj9HflKjOobKk4Vfgiza7gg1sLVXDJKiHqYuGiaSb2pBeE%2F%2FF4C5%2FgZDMAAOcNFR7pxI7Wau%2BucE8aXaXTDBSlkOrgFWd5CwAgaqpDrv2wVXJethysi%2BnDl4RVR%2Bm3qsGCZV88Era26tcXz6owKDI1RrnrSwdojM0f40ewqf61EwGi5mHAeQV7B8zY6Q3G8vr28eHvhgN8mUj%7Ctkp%3ABk9SR86k1Y2jYg
290,Lenovo ThinkPad E550 Laptop BOOTS Core i3-5005U @2GHz 8GB RAM 500GB HDD NO OS,US,46,Used,Lenovo,Core i3-5005U,15.6 in,,,,,,,,,,,,,,https://www.ebay.com/itm/195845583314?hash=item2d994e71d2:g:5DgAAOSwhBJkgeA7&amdata=enc%3AAQAIAAAA0EPKz4f%2Bw9LQ1VvZFuDBHzrU9myA9OD%2BHHBcxdOjN3ucoV%2Bz3Bokzst2Gsp8PFmbvSF6A2cQetSqcL%2BMXNl%2F1KO8wX1iGVACr62U49KVQfPRMMG%2BCSEbcY%2FDosk42N4EyxyrCcNCzvcK1sjQX%2BqI32WjaMvfZ%2FomVabfH3uvjcIE300KW2L61aA7yJ%2Bi2cGKbxExBjNSCsmft%2BW4sZeaj9on3S9Hqy%2BsPsR%2FNNjfFF69BVABq24PMns0GgAMUUMJSHKpC9%2BBQipamfyMZXRyN6s%3D%7Ctkp%3ABk9SR9Ck1Y2jYg
291,Dell Latitude 7370 Touch Laptop BOOTS Intel Core m5-6Y54 @1.1GHz 8GB RAM NO HDD,US,51,Used,Dell,Intel Core m5-6Y54,"13.3""",,,,,,,,,,,,,,https://www.ebay.com/itm/204379540505?hash=item2f95f84c19:g:jj8AAOSw8tJkgdsI&amdata=enc%3AAQAIAAAAsCjxTSJIhjFjdpcrXmjUA%2FGHkw%2BqlmTgVy1CWGShLLGsHhnS5dOoGTerAU8S3JdH%2FlPW6vb4HIxED%2FRxUbvjrRRD%2F0K6cNWLFXfAcrCdqf5SV%2BMnUX2%2B9igRnwDLZpy4a1ZO4gjN6WhAjGNHPgSjWlnCnOuzl6QEKRDIQFA27wGebxfkxB4Wlc0%2F3FZ8t9A37Y9fbko4%2FFGc1QCfmQ60aDQAFcBMvixwUsgUCcutrbgp%7Ctkp%3ABk9SR9Ck1Y2jYg
292,"Lenovo Legion Y530-151Ich i7-8750H 2.20GHz 15.6""  16GB  256GB SSD Win 11 Adapter",US,349.99,Used,Intel Core i7 8th Gen.,15.6 in,Black,16 GB,256 GB,nVidia GeForce GTX 1050 Ti,2.20 GHz,Lenovo,,Notebook/Laptop,1920 x 1080,Lenovo Legion Y530,Windows 11 Home,256 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/175773395214?hash=item28ece9290e:g:i8EAAOSwR21kiz0f&amdata=enc%3AAQAIAAAAwMDCOH8AyqN4e83XMFLQIoIpzAl3nJuJsCK%2F5r0oZ8zp6IlVLuoQgpp4gJEHROoMkKaAtCXU%2F4kWQh6NY1d%2BaMjf2FWuSD6VQZjmB3UZJ9RuBTpJDW8l30XiLJmXzhZgo0mSl5cwBjaudeC2Z5jcFQJugwpfDw3%2FrVYpqzC74MzhPpGGMvUKrr6MrMYMnM77CpDYOpjWyJ9IKLvJxVjsbYNO%2BYw7mgGu%2F%2BPd2VHj%2B50E0KDZIkdb9cZNwK7sLrdCEA%3D%3D%7Ctkp%3ABk9SR9Ck1Y2jYg
293,"Dell Latitude 5424 Rugged (i7-8650U 1.90GHz, RAM 16 GB, 512 GB SSD)",US,206.5,Used,Intel Core i7 8th Gen.,14 in,Black,16 GB,512 GB,Intel UHD 620 Graphics,1.90 GHz,Dell,Latitude,Notebook/Laptop,1920 x 1080,Latitude 5424 Rugged,Windows 10 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/225641970314?hash=item34894f3a8a:g:AqcAAOSwQd1kmyQl&amdata=enc%3AAQAIAAAAwC%2BgPjZ6oFLIh5OMiOoy7yEkZLOw3MQb99bsg9Ybg4cuijnH3%2BmDJ%2BrSBV1u9bPmQ3G0gpBk478lofWZv0PJ5SOBOn%2Fw7Cvx8o5eLjOubquXYlXhKucbiEFKvHhmwDlPDe43Q9jO4Oz4XhQwxdaK%2F9%2BRO3uDOx9vUm0xrFEaEOpEFazXgMRK5nIDMAuuH8PPoE6p2rwOaIsln%2FaYErwHm0wgwN01DPkzqREkRXe0lJXXeLe1D9ECztUtYduLSZVcCw%3D%3D%7Ctkp%3ABk9SR9Ck1Y2jYg
0,Dell Latitude 3480 Laptop BOOTS Core i3-7100U @2.4GHz 8GB DDR4 RAM NO HDD,US,55,Used,Dell,Intel Core i3-7100U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/204379540907?hash=item2f95f84dab:g:YB4AAOSwijVkgiNH&amdata=enc%3AAQAIAAAAsCvfoacbvTPHN0YcYIIvDb0YDAipECcmzMlmMzqv2FskqnGvvkKCm9K6%2BHa0inkJACu77CVC%2F8Xy89vgpZGyoHJUFh40JK9Gho%2FeH0L3bHi9%2BbYQKd%2BHFBMc22ooteOzt5EEoG5hp0R3el7D0yt4Egjp9zIaVba4GcI9t3X%2BHDx%2FGNo8i5S%2FwPnjtKJMWTSd9NKLtKrEgJkCULmOIZgUwiF2v4aQiX4gA8TkZUo3u%2FTY%7Ctkp%3ABk9SR_Khi46jYg
1,HP EliteBook 840 G2 Laptop BOOTS Core i5-5200U @ 2.2 GHz 8GB RAM 256GB SSD NO OS,US,80,Used,HP,Core i5-5200U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/145159580589?hash=item21cc2f6bad:g:MuoAAOSwkFhkggPe&amdata=enc%3AAQAIAAAA0PtiRSimFqtlF3uIUY6Sd0hG%2B7pbFr1DZS%2Fcsgmeq9QitLVxyuKeO157Bl8IL9QlEiVdTePklYep8wqindjrY5eftWSvU%2BDUCIN00Nxno%2BueZJfkas7N6Y3%2FlnHtMOwLqFsGCl5ybEheUmUcCsjY8TC0ExXEm2%2Fok99FVWBcBb%2FbK5kYOun4p2truor9nwh2zmKZYac00GyEg727d9rkTthUcxzokgE9i9uyCupkBDX2WBuVwoOg9YhrIcdLOLBWoT6iPYM5ZJ%2F4Q5%2BB0iV4pPY%3D%7Ctkp%3ABk9SR_Khi46jYg
2,Dell Latitude 5289 Laptop BOOTS Intel Core i7-7600U @2.8GHz 16GB RAM NO HDD/OS,US,103.5,Used,Dell,Intel Core i7-7600U,12.5 in,,,,,,,,,,,,,,https://www.ebay.com/itm/145159580559?hash=item21cc2f6b8f:g:sdEAAOSw26NkgejV&amdata=enc%3AAQAIAAAA0MK%2Bk8wv6RI8GZJRA%2FSGA53TvLWpJXcpiwTZ476sN1L3iN68T7Zt%2B2XQ3HEej7AmIj6oHectwREWGvcRWAlyWosE6VCohFcdMO7pivYfEuUKOkHQRyhgKAbrGj24AGUdO9UbedaTfe%2BP%2Fvt1RMbEnIL1poTQJoprZK93kuVs8dAPImmwQqJ%2BjmjhkzhE2Dhr1fgbwsMi5WB5vAyu9wdcUJ%2BygQ4JW3sl7cK08Ut%2FUkoPVUEVcJjUaR9ylR%2FWpt2D0ubOZ%2F8vW2nftiWdbeNNPNo%3D%7Ctkp%3ABk9SR_Shi46jYg
3,HP ProBook 640 G3 Laptop BOOTS Core i5-7200U @ 2.5 GHz 8GB RAM 256GB SSD NO OS,US,68,Used,HP,Core i5-7200U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/204379540790?hash=item2f95f84d36:g:M7oAAOSwnuBkgeYl&amdata=enc%3AAQAIAAAA0AbeeWD01RO%2BvNV69KBxq%2B1iqosMW9%2BDmvoEqFhxPSWwCbUgbqj3Hm%2FGJf1CWO5oZyvRFgx7x9wHV7d8ATjt5ilHTJhvERCTuL9Gr%2FcZXoyroFTxcVGL%2FnArEP98ZLQ%2FB2qfTTmTw39YiJ6RLWekd4e2zT9QIL0bOxWHJk1UOU5R2Kxy0JHPG2o%2B3SSXBoADGO%2FOp%2Fd6LN%2FOmS%2FMmjEpwMC6I%2FDd5XIb5EdnhYHJayyZcAUfkZRpuNHQkxZDL%2BvEGBMEEmFvKUYKEgJ88iXootI%3D%7Ctkp%3ABk9SR_Shi46jYg
4,Lenovo ThinkPad E570 Laptop BOOTS Core i5-6200U @2.3 GHz 8GB RAM 500GB HDD NO OS,US,75,Used,Lenovo,Core i5-6200U,15.6 in,,,,,,,,,,,,,,https://www.ebay.com/itm/204379540766?hash=item2f95f84d1e:g:~JQAAOSwOQFkgeO4&amdata=enc%3AAQAIAAAAsCaYFSgUPuVXegO%2BoPJ4pTA83SXrsEgZj9HflKjOobKk4Vfgiza7gg1sLVXDJKiHqRQ0zjUqshreN7gzjgnBlUD5sgsIiqzP2LL2rwiAZYD%2FQ8htyowyT2hshrARpAnboXfFv5zjPFy5buWxRXBicE%2BIX8rN5aogN4qmfcYpCGM%2FmTdV0ctaMs4NgdIpY3DlOeLiE%2BrdJy7GRwUEnITvknLUCyecYKgImcGdRhWxk3AU%7Ctkp%3ABk9SR_Shi46jYg
5,Lenovo ThinkPad E550 Laptop BOOTS Core i3-5005U @2GHz 8GB RAM 500GB HDD NO OS,US,46,Used,Lenovo,Core i3-5005U,15.6 in,,,,,,,,,,,,,,https://www.ebay.com/itm/195845583314?hash=item2d994e71d2:g:5DgAAOSwhBJkgeA7&amdata=enc%3AAQAIAAAA0EPKz4f%2Bw9LQ1VvZFuDBHzrU9myA9OD%2BHHBcxdOjN3ucoV%2Bz3Bokzst2Gsp8PFmbvSF6A2cQetSqcL%2BMXNl%2F1KO8wX1iGVACr62U49KVQfPRMMG%2BCSEbcY%2FDosk42N4EyyCGCDrF3wlYdSBtBPwwYaaToPk4ud6a76bPhTfhwfhKGaIl0VhV6d60O8lD6ijN4zRFbxOd1eMRuzB6v%2BMjpr8mIEekNA24iF1kqMXUE61YVN8qh%2FDd%2FQnATOvNHafmwMy6rYAop1j1FxUOjT3sfUA%3D%7Ctkp%3ABk9SR_Shi46jYg
6,Dell Latitude 7370 Touch Laptop BOOTS Intel Core m5-6Y54 @1.1GHz 8GB RAM NO HDD,US,51,Used,Dell,Intel Core m5-6Y54,"13.3""",,,,,,,,,,,,,,https://www.ebay.com/itm/204379540505?hash=item2f95f84c19:g:jj8AAOSw8tJkgdsI&amdata=enc%3AAQAIAAAA0L1At3zv6MPNFfEfBAg0AXVx7zzOQJUeW%2FATNBWKOa29Gfcf0mtLhUG6m1AJu4o6eO10T%2BGDrqKw5NOzc9tt9mAgBFpPMh6WP3cfoIGmsz9uteM2fLO29wEoq5O%2BqowZpjEXGPFwGos0F6gHqV5N8KFuwshnco6LLttKKZEe1p7PvJ3QUPjI3wfF4PjBUcOWS0c5fdC54%2FLLVhVhYLXzhkBBRAISVIbIg2mTkqdlgzFr9SX5L%2BKKKCBca4pEnO3IIPNebqR57ySIyehQ4JjJvgg%3D%7Ctkp%3ABk9SR_Shi46jYg
7,"Lenovo Legion Y530-151Ich i7-8750H 2.20GHz 15.6""  16GB  256GB SSD Win 11 Adapter",US,349.99,Used,Intel Core i7 8th Gen.,15.6 in,Black,16 GB,256 GB,nVidia GeForce GTX 1050 Ti,2.20 GHz,Lenovo,,Notebook/Laptop,1920 x 1080,Lenovo Legion Y530,Windows 11 Home,256 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/175773395214?hash=item28ece9290e:g:i8EAAOSwR21kiz0f&amdata=enc%3AAQAIAAAAwMDCOH8AyqN4e83XMFLQIoIpzAl3nJuJsCK%2F5r0oZ8zp6IlVLuoQgpp4gJEHROoMkFKk%2BNEGZdQCjCXd7nwkCld00dheEcn8XF9RS0wdsdmEroIoc3HhpTOubN8%2BsOgP9WDcpH7M6mS1t4WMPMr4Kw7mboZNEsZ%2BdRqZk9Z6UT4khZJmPxWEGSvePuHfJTrw60DyGbMdX5vQhZo34nqthNAVQvNTmgA2nKhvARd4s%2B%2F4c2ibZAiMeBoIAl%2Fj%2B2u6zA%3D%3D%7Ctkp%3ABk9SR_Shi46jYg
8,"Dell Latitude 5424 Rugged (i7-8650U 1.90GHz, RAM 16 GB, 512 GB SSD)",US,206.5,Used,Intel Core i7 8th Gen.,14 in,Black,16 GB,512 GB,Intel UHD 620 Graphics,1.90 GHz,Dell,Latitude,Notebook/Laptop,1920 x 1080,Latitude 5424 Rugged,Windows 10 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/225641970314?hash=item34894f3a8a:g:AqcAAOSwQd1kmyQl&amdata=enc%3AAQAIAAAA4E%2BXLxZiYUcU6apIAppNbd2Vo%2F5ntPAvhpeUB%2BN9yengkwDvzK7er7uKRhKYhvW9T5Q9TUL%2F%2Fo1tbM1Q7wK2%2FMHAd9m0O8HG20VbfhfsbD5fF6yAYMYTcbXP1%2FE4XfYRXC0RxcnvMpXBcHYr9qpJa77z3%2B5sQuSAw57Wi3JtCeKgvShpXd9G2gQRfgk7qWLPN53UN05Cm84q1voArwnvHuurWmKPFxbrJu9R55qNOYw1YTgyJtzDkO4VGlXu6Ys8AwaSWMuhmZn1PYjTnSe4knsdyrqZYmXGZJ6ZRycRGRz7%7Ctkp%3ABk9SR_Shi46jYg
15,"Microsoft Surface Studio (i7-11370H 3.30GHz, RAM 32 GB, 2 TB SSD, RTX 3050 Ti)",US,"1,625",Used,Intel Core i7 11th Gen.,14.4 in,Platinum,32 GB,2 TB,NVIDIA GeForce RTX 3050 Ti,3.30 GHz,Microsoft,Surface,Notebook/Laptop,2400 x 1600,Microsoft Surface Laptop Studio,Windows 11 Home,2 TB,SSD (Solid State Drive),,https://www.ebay.com/itm/364320682863?hash=item54d334736f:g:lqAAAOSwIYJkmIDc&amdata=enc%3AAQAIAAAA4DP584UTjMwZjRBj3k48F9lRFUXtphnkOQ2b2xALU3EMoJD3my1Tkdprbuy2ShMkisoUJRpSo0u3DNbN2Kif2AXuPbJI%2B6eaIDWYD5n%2F16YJ0R0mplgWQXKiJ4Sj%2BbpXkNVmxQhZNTfqlotrlqWSJqIOND2u27eb9AjAzgEgKPaXYPeXOGH3EtKTlSk5m4klVb%2F41BdT7STe4IbuLIMSZsHAiFocYfr2R5l%2BbVMwuy3aGR0WPcAOLbnr34JBxBDYtRpVhOeOffIoKge7AeZhtvZK1T%2BPDrmNohK5wxwOFp%2BH%7Ctkp%3ABk9SR_ahi46jYg
16,Dell Latitude 5400 Laptop BOOTS Intel Core i7-8665U @1.90 32GB RAM 256GB SSD,US,202.5,Used,Dell,Intel Core i7-8665U,"14""",,,,,,,,,,,,,,https://www.ebay.com/itm/145159578682?hash=item21cc2f643a:g:wDYAAOSwD3pkgdAr&amdata=enc%3AAQAIAAAAsHS8nP78TqF66xksLNcPaGDoT4pmK8tI8U0UbqAKCMTbF8NV86O6aDsFuujXTqiD9rUE1vtsmqnx2MBEpt7KknnKH3zV1DqYel69xrTXZfjRKSUmTESUkKWxYdlisd%2BwC3z7grRZ08JrAhq9AajmPLASomdRRoiu1ywP020KarykFsRC7GPOGLyveM7osXR0H2CWtPYBEBk5ooGCRh0TE4DBZ74rYLLg1adNukf%2F6REZ%7Ctkp%3ABk9SR_ahi46jYg
18,"Dell Latitude E7450 14"" Laptop 256GB SSD, 8GB RAM Intel i5 5300U 2.3 GHz - Black",US,55,Used,Intel Core i5 5th Gen.,14 in,Black,8 GB,256 GB,,2.60 GHz,Dell,Latitude,Notebook/Laptop,1366 x 768,E7450,Windows 10,,SSD (Solid State Drive),,https://www.ebay.com/itm/364320680604?hash=item54d3346a9c:g:irsAAOSw~sNkmIDD&amdata=enc%3AAQAIAAAAsM7JVKPamzRqpBriNi5XxywmEJk%2FJ7I20GdJLCwM8C%2F0ERlxXrL9fnBPnN0jchZsE%2Br%2FLc0bj5TjLgwgH6Yo3k2rfSr9cGtg52536Fs2JsnRC5X20HbdM4VH8OM%2BcNeZ1wFebWZY11bQon9n%2BpJXyJzkKs4%2FB61mdn12CZShIz0ZP0EYBazP2jMoFxiL2KlvgDDP6%2F%2BbUFpWUv6DFeTaDxfxP1PvR26XfLz2zpc15meJ%7Ctkp%3ABk9SR_ahi46jYg
20,Dell Latitude E5440 Core i5 4310U 2.0GHz 8GB RAM No HDD 14'' No OS Laptop,US,24.99,For parts or not working,Core i5 4310U,14,,8GB,,,2.0GHz,Dell,,Laptop,,E5440,No OS,No,,,https://www.ebay.com/itm/134637127311?hash=item1f58ff868f:g:oZsAAOSwPgFkXk8K&amdata=enc%3AAQAIAAAA4MNawXnggX7VD6v7sou0oHo9CJTo2BpiB5LwJAcNORTYkAMW7b6A7TKSdZ%2Bf8fLtBbjwLc33Es9aPm70HvaTz6F2CLpPsAWqn38cSWwB3AtVe2%2BkgQLL7LvP8HLjoOAK7eF7qtimx7Z%2FJ4KckevgtTEiTatieO1bfQKMlvwukmA2AFbdoU1LqUPZ%2BcIaJbfmEZlSna%2BOfsTQXLz33MDfqYZ5TnzsTocN%2BxARbcbIJTrrRKGb2CEnPRCjuMgyimtWPPRxe5KT1gV1vN3UsCuNPkgLVBJZZRWb1AiEf1GLC%2FNB%7Ctkp%3ABk9SR_ahi46jYg
21,"ASUS ROG G751JT 17.3in. (Intel Core i7 4th Gen., 2.5GHz, 16GB RAM) - GTX 970M",US,300,Used,17.3 in,Intel Core i7 4th Gen.,Black,16 GB,256 GB,Nvidia GeForce Gtx 970M,2.50 GHz,ASUS,ROG,Notebook/Laptop,1920 x 1080,Rog G751JT,Windows 10,16 GB,,,https://www.ebay.com/itm/394701638648?hash=item5be60d0bf8:g:qxwAAOSwsNVkmH~-&amdata=enc%3AAQAIAAAAwOGhA1NP1GjyWsXLDHOnJRB7ukIHVuELf8J9SpMxmNs%2BldkWIYwsXFmTJ0jdLIIAJjfY%2FMNp7gt2TBHGbWF%2FQGa3Ii8MIr7JOgvGySFWzSM49wgv1IqTCqn0dRljX6EcAkSF0H3eJ5h6SRhgR36nebFDbCsnUJvc2sUlevhRhD2GiyRhgWjgoTFNZTi2j65zTy8JZTkopRpD2Le8%2BhCz5BJaJqVTKY0JxSZqZW5kEOg%2Bo%2BKiKZmbY%2BFHjDI3oVOcoA%3D%3D%7Ctkp%3ABk9SR_ahi46jYg
22,"Dell Latitude 7400 Intel Core i7-8665U 16GB RAM 256GB SSD 14"" 1080p NO OS",US,196,Used,Intel Core i7-8665U,"14""",,,,,,Dell,,Notebook/Laptop,,Latitude 7400,Not included,256GB SSD,SSD Solid State Drive,,https://www.ebay.com/itm/364320679618?hash=item54d33466c2:g:~RYAAOSwXJhkmICh&amdata=enc%3AAQAIAAAA4ExPLlZDgXCQi0KNSCX8QrNB6jJbEFjUZ1hygREuajH6DA1%2BuUJwFBpixUabuZ4HGSNpaw5N74zzrGzPKRbaPQa0aXEo16AFkUILe5I04HnCLTNG6BX5bEoMFFF4R0LcwZwI8DxeGYdtY5zhGp0wQG5mrG2ehwIUhtLs1uR8dDaFpeyIBt3DA299ASl7PyONUAp6%2Bk0T7f74M9wZxY9fM%2B%2FkyhcyPfiEu5EEwUPoDPbgyYXLzzGbqvVWAXcoa0VdCHueRgg09FSB3HF5OQaqQcprfB%2FdJInpq0JZUe5rcYnG%7Ctkp%3ABk9SR_ahi46jYg
25,Dell Inspiron 3521-i3-3217u/8gb ram/500gb HDD/Windows 10,US,24.99,Used,Dell,Intel Core i3 3rd Gen.,15.6 in,,8 GB,500 GB,,,Inspiron,,,Dell Inspiron 3521,Windows 10,500 GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/225638579570?hash=item34891b7d72:g:j2UAAOSwFeNkmH8A&amdata=enc%3AAQAIAAAAsMnmoYWljOhQv81t7E73r0iBaOCqOeOouuO5UT%2BpiqiYWgflVohXV9t34QBBArdjma3K6F4At8biBnnAZl1hNDO07dr1eBce5UcK2CBYRj6vHGGXeXmFTXTjE3BT7grUj%2FeyHEWBrDQurxAtqgqQyqUskzbUjo2CpdvBE1AS%2FFE%2FMrgyg23pFU%2B3fqaLX9%2BmrOwgNI3Cp6LxZZ%2F0kxrkyM4j9%2FpvQwTJ5TJHAgMNZydw%7Ctkp%3ABk9SR_ahi46jYg
28,"Microsoft Surface Pro X 13"" 2020 3.15GHz SQ2 Processor 16GB 256GB - Excellent!",US,699.99,Excellent - Refurbished,Microsoft SQ2,13 in,Black,16 GB,256 GB,Qualcomm(R) Adreno(TM) 680 GPU,3.15 GHz,Microsoft,Microsoft Surface,Convertible 2-in-1 Laptop/Tablet,2880 x 1920,Microsoft Surface Pro X,Windows 10 on ARM,,SSD (Solid State Drive),,https://www.ebay.com/itm/295018255517?hash=item44b075549d:g:PgIAAOSwO3dhu1Av&amdata=enc%3AAQAIAAAAwBjcXzD1fZbzmZcp70Vz2914wcADgdrbmaTnoYf4VceV0NkwB9ctPPXFGDovojdvM6fo4HmfnWBo6pco%2BZOAcw0qka3WjMjGwVik%2FxLnS8vsxOsBkWvawPWJkYbY40SZyPwS0tiyj33%2FoPsHK0lMFECEetLsS2Og%2BLTN130Ck6%2BA8X4d4nLhWHWdHMdbAF1Smy4TUhaA4GR5mloPR8AZN8OvrAtBK7skaARB8%2FBWWQ0rHblzKoO14rNigyezQs%2B2NQ%3D%3D%7Ctkp%3ABk9SR_ahi46jYg
30,Dell XPS 15 9570 i7 8750h UHD 4K Touch 500GB SSD 16GB RAM GTX 1050TI W10 READ!,US,280,Used,Intel Core i7-8750H,15.6 in,Silver,,500 GB,,2.20GHz,Dell,,Laptop,,Dell XPS 9570,Windows 10 Home x64,,SSD,,https://www.ebay.com/itm/125802089225?hash=item1d4a638b09:g:cXkAAOSwLm5kAtQo&amdata=enc%3AAQAIAAAA4HFDmw3BZE2dnbC0%2FceIPDp69Y9PimMVvv8yLos0wOH8sFeibOgLe4eeD4QZlG7aG7KA81Xoy1C7BuhJSY3L2X2UemTmP%2FOuM2m8ipbGZY19D61nCogZ62o7F2WXnZZF33TpuXONTYzvjUMI5Shmlurq%2F3JQslGMSS%2B9XTut%2BveIog1cwbpiRKsmwnPfJF70zBcUdUBGEoSwD%2FMQwFYb5lApyZ1amKFtLMyuJLIZERZLTNQOCc0TybMvZpyPwkwWKM3231Ouro2%2F%2FBLGnrLOrbpDvdf3Z2Spo4n9WHbZNknn%7Ctkp%3ABk9SR_ahi46jYg
